asset,asset_type,strategy_family,num_param_combos,mean_sharpe,std_sharpe,mean_return,std_return,best_sharpe,worst_sharpe,robustness_score,pct_positive_sharpe
BTC/USDT,crypto,MA_Crossover,29,0.1491,0.5144,-0.7465,2.9103,0.5392,-0.6445,0.0,69.0
BTC/USDT,crypto,RSI,60,-0.7062,0.5896,-25.523,18.8851,0.1413,-1.8078,0.1652,13.3
BTC/USDT,crypto,EMA_Crossover,23,-0.5981,0.0,-8.7285,0.0,-0.5981,-0.5981,1.0,0.0
BTC/USDT,crypto,Bollinger,16,-0.5508,0.6725,-14.8714,24.2476,0.5342,-1.748,0.0,25.0
BTC/USDT,crypto,Stochastic,36,-0.199,0.3823,-10.3727,15.824,0.5439,-0.7893,0.0,36.1
BTC/USDT,crypto,ATR_Breakout,16,-0.1083,0.597,-4.8534,19.5418,0.9525,-1.0185,0.0,37.5
BTC/USDT,crypto,ADX_Trend,16,-0.2432,0.5002,-6.1449,9.901,0.8626,-1.1648,0.0,31.2
BTC/USDT,crypto,MACD,48,-0.5981,0.0,-8.7285,0.0,-0.5981,-0.5981,1.0,0.0
NVDA,tech_stocks,MA_Crossover,29,-0.2315,0.6927,-1.0986,2.7457,0.6623,-0.8452,0.0,37.9
NVDA,tech_stocks,RSI,60,0.2904,0.6092,10.5331,20.9157,1.2353,-1.6529,0.0,68.3
NVDA,tech_stocks,EMA_Crossover,23,-0.8032,0.0,-1.2006,0.0,-0.8032,-0.8032,1.0,0.0
NVDA,tech_stocks,Bollinger,16,0.4573,0.5092,12.7229,18.3851,1.428,-0.2842,0.0,75.0
NVDA,tech_stocks,Stochastic,36,-0.3874,0.4026,-14.9791,13.1626,0.5375,-1.136,0.0,13.9
NVDA,tech_stocks,ATR_Breakout,16,-0.9051,0.8537,-25.923,21.146,0.2267,-2.2952,0.0568,18.8
NVDA,tech_stocks,ADX_Trend,16,-0.2691,0.4925,-4.9106,7.3877,0.4162,-1.2629,0.0,31.2
NVDA,tech_stocks,MACD,48,-0.8032,0.0,-1.2006,0.0,-0.8032,-0.8032,1.0,0.0
CRM,tech_growth_extra,MA_Crossover,29,-0.2219,0.7635,0.6717,1.5598,0.6718,-0.9888,0.0,44.8
CRM,tech_growth_extra,RSI,60,-0.0625,0.5186,-2.5433,12.1312,1.0735,-1.0045,0.0,41.7
CRM,tech_growth_extra,EMA_Crossover,23,-0.2507,0.0,-0.0616,0.0,-0.2507,-0.2507,1.0,0.0
CRM,tech_growth_extra,Bollinger,16,-0.3758,0.6798,-8.9352,12.8174,0.7957,-1.5072,0.0,31.2
CRM,tech_growth_extra,Stochastic,36,-0.9278,0.5628,-21.2522,12.3997,0.2819,-1.8251,0.3933,11.1
CRM,tech_growth_extra,ATR_Breakout,16,-0.9372,0.6159,-17.3281,10.2515,0.2796,-1.9804,0.3428,6.2
CRM,tech_growth_extra,ADX_Trend,16,-0.6534,0.7281,-7.576,9.2087,0.7698,-2.2355,0.0,18.8
CRM,tech_growth_extra,MACD,48,-0.2507,0.0,-0.0616,0.0,-0.2507,-0.2507,1.0,0.0
AVGO,semiconductors,MA_Crossover,29,0.1622,0.4819,-0.6159,1.8611,0.5472,-0.7355,0.0,79.3
AVGO,semiconductors,RSI,60,-0.1957,0.7096,-5.7702,20.1052,0.9,-1.9541,0.0,41.7
AVGO,semiconductors,EMA_Crossover,23,0.5578,0.0,0.6035,0.0,0.5578,0.5578,1.0,100.0
AVGO,semiconductors,Bollinger,16,-0.547,0.5012,-15.0521,12.385,0.278,-1.5381,0.0837,12.5
AVGO,semiconductors,Stochastic,36,0.7417,0.3627,25.9809,15.6038,1.5295,0.0525,0.511,100.0
AVGO,semiconductors,ATR_Breakout,16,-0.2178,0.6052,-7.9524,18.1455,1.1081,-1.1571,0.0,25.0
AVGO,semiconductors,ADX_Trend,16,-0.6059,0.8049,-9.8635,12.8276,0.8206,-1.7516,0.0,25.0
AVGO,semiconductors,MACD,48,0.5578,0.0,0.6035,0.0,0.5578,0.5578,1.0,100.0
JPM,finance,MA_Crossover,29,0.2416,0.5348,0.2939,1.4056,0.6634,-0.7629,0.0,79.3
JPM,finance,RSI,60,-0.8548,0.5009,-12.8588,6.3558,-0.0052,-1.8846,0.414,0.0
JPM,finance,EMA_Crossover,23,-0.827,0.0,-0.9626,0.0,-0.827,-0.827,1.0,0.0
JPM,finance,Bollinger,16,-0.3476,0.6615,-7.0898,8.9461,0.9086,-1.6693,0.0,25.0
JPM,finance,Stochastic,36,-0.6957,0.4286,-12.7382,7.0115,0.417,-1.4156,0.384,8.3
JPM,finance,ATR_Breakout,16,-0.993,0.317,-15.2108,4.9532,-0.5068,-1.5762,0.6808,0.0
JPM,finance,ADX_Trend,16,-0.6872,0.5991,-5.3736,4.82,0.172,-2.0637,0.1281,18.8
JPM,finance,MACD,48,-0.9082,0.1264,-1.1097,0.2293,-0.827,-1.1052,0.8608,0.0
UNH,healthcare,MA_Crossover,29,-0.6439,0.5569,-0.7021,0.9824,0.5649,-1.0035,0.1351,17.2
UNH,healthcare,RSI,60,-1.3772,0.5703,-27.3711,9.3297,-0.0955,-2.587,0.5859,0.0
UNH,healthcare,EMA_Crossover,23,0.463,0.0,0.324,0.0,0.463,0.463,1.0,100.0
UNH,healthcare,Bollinger,16,-0.9557,0.5328,-15.5071,10.4028,0.0165,-1.8148,0.4425,6.2
UNH,healthcare,Stochastic,36,-1.0853,0.393,-26.8763,7.6736,-0.2907,-1.8066,0.6379,0.0
