asset_type,asset_symbol,asset_name,strategy_name,strategy_params,total_return_pct,final_capital,sharpe_ratio,max_drawdown,win_rate,profit_factor,total_trades,winning_trades,losing_trades
crypto,BTC/USDT,Bitcoin,MA_Crossover_20_50,"{'fast_period': 20, 'slow_period': 50}",0.6326408714761601,10063.264087147616,0.4666367058457448,-0.14982503748124146,100.0,inf,1,1,0
crypto,BTC/USDT,Bitcoin,RSI_14_35_80,"{'period': 14, 'oversold': 35, 'overbought': 80}",-13.191660178940564,8680.833982105944,-0.3636570597765395,-20.421605028788044,44.44444444444444,0.9671644303181204,63,28,35
crypto,BTC/USDT,Bitcoin,Combined,{},-19.757665452862348,8024.233454713765,-0.565782903075873,-30.47421368044756,43.24324324324324,0.9114376275891668,74,32,42
crypto,ETH/USDT,Ethereum,MA_Crossover_20_50,"{'fast_period': 20, 'slow_period': 50}",2.070736887227231,10207.073688722723,0.5466692435627524,-0.14982503748124146,100.0,inf,1,1,0
crypto,ETH/USDT,Ethereum,RSI_14_35_80,"{'period': 14, 'oversold': 35, 'overbought': 80}",-44.825352647458985,5517.4647352541015,-1.3030448992873631,-46.68452519450452,34.61538461538461,0.6386796750565729,78,27,51
crypto,ETH/USDT,Ethereum,Combined,{},-64.99391765408468,3500.608234591532,-2.223527507295576,-67.5662163999445,29.213483146067414,0.4373486995997198,89,26,63
crypto,BNB/USDT,Binance Coin,MA_Crossover_20_50,"{'fast_period': 20, 'slow_period': 50}",0.5511353533983856,10055.113535339839,0.4518421093755236,-0.14982503748124146,100.0,inf,1,1,0
crypto,BNB/USDT,Binance Coin,RSI_14_35_80,"{'period': 14, 'oversold': 35, 'overbought': 80}",-46.969074860029856,5303.092513997014,-1.672277967004092,-48.213192281359355,33.89830508474576,0.462110017090774,59,20,39
crypto,BNB/USDT,Binance Coin,Combined,{},-3.0176217303435804,9698.237826965642,-0.009746111467279347,-17.402803391624648,50.0,1.1660556761168905,76,38,38
crypto,SOL/USDT,Solana,MA_Crossover_20_50,"{'fast_period': 20, 'slow_period': 50}",-3.2422060484999933,9675.77939515,-0.6152867078368883,-3.2422060484999933,0.0,0.0,1,0,1
crypto,SOL/USDT,Solana,RSI_14_35_80,"{'period': 14, 'oversold': 35, 'overbought': 80}",3.6976651351785406,10369.766513517854,0.16129862369459005,-25.56240151381311,41.77215189873418,1.1519634143696054,79,33,46
crypto,SOL/USDT,Solana,Combined,{},-32.059470911944,6794.0529088056,-0.6429669609443883,-37.990398074879096,39.02439024390244,0.8263504453273534,82,32,50
crypto,XRP/USDT,Ripple,MA_Crossover_20_50,"{'fast_period': 20, 'slow_period': 50}",-0.22862268763245083,9977.137731236755,-0.7940008750313693,-0.22862268763245083,0.0,0.0,1,0,1
crypto,XRP/USDT,Ripple,RSI_14_35_80,"{'period': 14, 'oversold': 35, 'overbought': 80}",-45.41617451271204,5458.382548728796,-1.405549998566084,-45.569972958709904,31.25,0.5317760839022824,64,20,44
crypto,XRP/USDT,Ripple,Combined,{},-8.841852622499646,9115.814737750035,-0.0908413155067914,-27.802432854827657,39.77272727272727,1.0737301965688775,88,35,53
